method,num_relations,graph_type,problem,baseline_cost,optimisation_time_in_ms,cost,normalised_cost
digital_annealing_legacy,18,CHAIN,0,29605208462.122223,1498.2490463256836,29605208462.122223,1.0000000000041285
digital_annealing_quadratic,18,CHAIN,0,29605208462.122223,456.0,29605208462.122223,1.0000000000041285
dpsizelinear,18,CHAIN,0,29605208462.122223,0,29605208462.122223,1.0000000000041285
genetic,18,CHAIN,0,29605208462.122223,162,29739027568.25949,1.0045201203846024
ikkbz,18,CHAIN,0,29605208462.122223,0,29605208462.122223,1.0000000000041285
milp,18,CHAIN,0,29605208462.122223,4247,29605208462.122223,1.0000000000041285
minsel,18,CHAIN,0,29605208462.122223,0,37514583707.12967,1.2671616129736702
simulated_annealing_quadratic,18,CHAIN,0,29605208462.122223,2238.4281158447266,29605208462.122223,1.0000000000041285
digital_annealing_legacy,18,CHAIN,1,3095205.964456736,528.0,3095205.964456736,1.0000003115970464
digital_annealing_quadratic,18,CHAIN,1,3095205.964456736,1855.6171321868896,3095205.964456736,1.0000003115970464
dpsizelinear,18,CHAIN,1,3095205.964456736,0,3095205.964456736,1.0000003115970464
genetic,18,CHAIN,1,3095205.964456736,63,3098542.936878092,1.0010784219068178
ikkbz,18,CHAIN,1,3095205.964456736,0,3095205.964456736,1.0000003115970464
milp,18,CHAIN,1,3095205.964456736,408,3095545.7146944324,1.0001100782321146
minsel,18,CHAIN,1,3095205.964456736,0,3095205.964456736,1.0000003115970464
simulated_annealing_quadratic,18,CHAIN,1,3095205.964456736,6081.612586975098,3095205.964456736,1.0000003115970464
digital_annealing_legacy,18,CHAIN,2,89978.81505928245,2098.6350135803223,101463.60015349247,1.1276489825678775
digital_annealing_quadratic,18,CHAIN,2,89978.81505928245,456.0,89978.81505928245,1.000009058428532
dpsizelinear,18,CHAIN,2,89978.81505928245,0,89978.81505928245,1.000009058428532
genetic,18,CHAIN,2,89978.81505928245,3518,97254.02443097062,1.0808644827732403
ikkbz,18,CHAIN,2,89978.81505928245,0,89978.81505928245,1.000009058428532
milp,18,CHAIN,2,89978.81505928245,201,89978.81505928245,1.000009058428532
minsel,18,CHAIN,2,89978.81505928245,0,129103.79510100592,1.4348373502523497
simulated_annealing_quadratic,18,CHAIN,2,89978.81505928245,2849.919557571411,95720.76157623644,1.0638240633959017
digital_annealing_legacy,18,CHAIN,3,138000116.40393052,4045.373945236206,138004869.0607412,1.0000344424401875
digital_annealing_quadratic,18,CHAIN,3,138000116.40393052,1867.8112049102783,138000116.40393052,1.0000000029270302
dpsizelinear,18,CHAIN,3,138000116.40393052,0,138000116.40393052,1.0000000029270302
genetic,18,CHAIN,3,138000116.40393052,16640,273198761.46794766,1.9796995059623548
ikkbz,18,CHAIN,3,138000116.40393052,0,138000116.40393052,1.0000000029270302
milp,18,CHAIN,3,138000116.40393052,605,138000116.40393052,1.0000000029270302
minsel,18,CHAIN,3,138000116.40393052,0,326562835.3385483,2.3663953683817796
simulated_annealing_quadratic,18,CHAIN,3,138000116.40393052,15378.06749343872,138000116.40393052,1.0000000029270302
digital_annealing_legacy,18,CHAIN,4,846614843.1900337,2987.2535762786865,846614843.1900337,1.000000000224463
digital_annealing_quadratic,18,CHAIN,4,846614843.1900337,478.0358371734619,846614843.1900337,1.000000000224463
dpsizelinear,18,CHAIN,4,846614843.1900337,0,846614843.1900337,1.000000000224463
genetic,18,CHAIN,4,846614843.1900337,19255,851945907.1969097,1.0062969179444325
ikkbz,18,CHAIN,4,846614843.1900337,0,846614843.1900337,1.000000000224463
milp,18,CHAIN,4,846614843.1900337,1002,846622975.3069365,1.000009605674887
minsel,18,CHAIN,4,846614843.1900337,0,3606129895.9737353,4.259469256640159
simulated_annealing_quadratic,18,CHAIN,4,846614843.1900337,1898.343563079834,846614843.1900337,1.000000000224463
digital_annealing_legacy,18,CHAIN,5,44225145234.477005,33658.876192092896,44225203763.18851,1.0000013234368863
digital_annealing_quadratic,18,CHAIN,5,44225145234.477005,480.74878120422363,86268287953.77739,1.950661495792102
dpsizelinear,18,CHAIN,5,44225145234.477005,0,44225145234.477005,1.0000000000107858
genetic,18,CHAIN,5,44225145234.477005,1745,87407593594.54683,1.9764229858842486
ikkbz,18,CHAIN,5,44225145234.477005,0,44225145234.477005,1.0000000000107858
milp,18,CHAIN,5,44225145234.477005,5214,45339278802.95619,1.025192310009638
minsel,18,CHAIN,5,44225145234.477005,0,44225145234.477005,1.0000000000107858
simulated_annealing_quadratic,18,CHAIN,5,44225145234.477005,2212.2206687927246,44225203763.18851,1.0000013234368863
digital_annealing_legacy,18,CHAIN,6,17521530030.465187,1355.6233310699463,17521530030.465187,1.0000000000265494
digital_annealing_quadratic,18,CHAIN,6,17521530030.465187,950.2666893005371,17521530030.465187,1.0000000000265494
dpsizelinear,18,CHAIN,6,17521530030.465187,0,17521530030.465187,1.0000000000265494
genetic,18,CHAIN,6,17521530030.465187,96,50379651080.67673,2.8752997594626573
ikkbz,18,CHAIN,6,17521530030.465187,0,17521530030.465187,1.0000000000265494
milp,18,CHAIN,6,17521530030.465187,401,17521530030.465187,1.0000000000265494
minsel,18,CHAIN,6,17521530030.465187,0,17521530030.465187,1.0000000000265494
simulated_annealing_quadratic,18,CHAIN,6,17521530030.465187,3951.172113418579,17521530030.465187,1.0000000000265494
digital_annealing_legacy,18,CHAIN,7,1006204758.0241877,6909.625715255737,1012812468.0357565,1.0065669636157262
digital_annealing_quadratic,18,CHAIN,7,1006204758.0241877,452.0,1006204758.0241877,1.0000000000240385
dpsizelinear,18,CHAIN,7,1006204758.0241877,0,1121755695.9360342,1.1148383934952872
genetic,18,CHAIN,7,1006204758.0241877,7762,1006219837.2342525,1.000014986248209
ikkbz,18,CHAIN,7,1006204758.0241877,0,1121755695.9360342,1.1148383934952872
milp,18,CHAIN,7,1006204758.0241877,204,1006206288.4826875,1.0000015210449715
minsel,18,CHAIN,7,1006204758.0241877,0,2621121597.7521834,2.6049584609022327
simulated_annealing_quadratic,18,CHAIN,7,1006204758.0241877,21307.89828300476,1006207373.5767148,1.0000025994477704
digital_annealing_legacy,18,CHAIN,8,130564541.86300904,618.5205097198486,256098102.07762647,1.9614674866250743
digital_annealing_quadratic,18,CHAIN,8,130564541.86300904,535.7914905548096,130564541.86300904,1.0000000066098271
dpsizelinear,18,CHAIN,8,130564541.86300904,0,256098102.07762647,1.9614674866250743
genetic,18,CHAIN,8,130564541.86300904,811,130582837.65176994,1.0001401349220072
ikkbz,18,CHAIN,8,130564541.86300904,0,256098102.07762647,1.9614674866250743
milp,18,CHAIN,8,130564541.86300904,4874,130565476.53254035,1.0000071652880114
minsel,18,CHAIN,8,130564541.86300904,0,288911230.38687825,2.2127847896074497
simulated_annealing_quadratic,18,CHAIN,8,130564541.86300904,17439.975261688232,130564541.86300904,1.0000000066098271
digital_annealing_legacy,18,CHAIN,9,136313876.87444395,15866.136926651001,136313876.87444395,1.00000000641493
digital_annealing_quadratic,18,CHAIN,9,136313876.87444395,472.6207084655762,136313876.87444395,1.00000000641493
dpsizelinear,18,CHAIN,9,136313876.87444395,0,136313876.87444395,1.00000000641493
genetic,18,CHAIN,9,136313876.87444395,785,136313876.87444395,1.00000000641493
ikkbz,18,CHAIN,9,136313876.87444395,0,136313876.87444395,1.00000000641493
milp,18,CHAIN,9,136313876.87444395,407,136313876.87444395,1.00000000641493
minsel,18,CHAIN,9,136313876.87444395,0,173027583.03221908,1.2693321333788432
simulated_annealing_quadratic,18,CHAIN,9,136313876.87444395,2820.352554321289,136313876.87444395,1.00000000641493
digital_annealing_legacy,22,CHAIN,0,22729447899.255978,1068.4799823760986,22729447899.255978,1.0000000000112619
digital_annealing_quadratic,22,CHAIN,0,22729447899.255978,1119.0,22729447899.255978,1.0000000000112619
dpsizelinear,22,CHAIN,0,22729447899.255978,0,22729447899.255978,1.0000000000112619
genetic,22,CHAIN,0,22729447899.255978,673,24397820182.063232,1.0734013553904507
ikkbz,22,CHAIN,0,22729447899.255978,0,22729447899.255978,1.0000000000112619
milp,22,CHAIN,0,22729447899.255978,6619,22729580650.250084,1.0000058404960241
minsel,22,CHAIN,0,22729447899.255978,0,74038668686.94647,3.2573896654218277
simulated_annealing_quadratic,22,CHAIN,0,22729447899.255978,5323.651075363159,22729447899.255978,1.0000000000112619
digital_annealing_legacy,22,CHAIN,1,91811535.97605889,942.2702655792236,91811535.97605889,1.000000010631114
digital_annealing_quadratic,22,CHAIN,1,91811535.97605889,611.0367221832275,91811535.97605889,1.000000010631114
dpsizelinear,22,CHAIN,1,91811535.97605889,0,91811535.97605889,1.000000010631114
genetic,22,CHAIN,1,91811535.97605889,257,99037400.07888699,1.0787032378762318
ikkbz,22,CHAIN,1,91811535.97605889,0,91811535.97605889,1.000000010631114
milp,22,CHAIN,1,91811535.97605889,8826,91818483.75612547,1.0000756850010781
minsel,22,CHAIN,1,91811535.97605889,0,100533765.971598,1.0950014720002013
simulated_annealing_quadratic,22,CHAIN,1,91811535.97605889,11378.65924835205,91811535.97605889,1.000000010631114
digital_annealing_legacy,22,CHAIN,2,42069115.09028437,4187.551063537598,42069115.09028437,1.0000000021460962
digital_annealing_quadratic,22,CHAIN,2,42069115.09028437,565.6457424163818,42069115.09028437,1.0000000021460962
dpsizelinear,22,CHAIN,2,42069115.09028437,0,42069115.09028437,1.0000000021460962
genetic,22,CHAIN,2,42069115.09028437,6653,49089486.883741125,1.1668770993575959
ikkbz,22,CHAIN,2,42069115.09028437,0,42069115.09028437,1.0000000021460962
milp,22,CHAIN,2,42069115.09028437,9779,42069115.09028437,1.0000000021460962
minsel,22,CHAIN,2,42069115.09028437,0,42539980.26955829,1.0111926592598464
simulated_annealing_quadratic,22,CHAIN,2,42069115.09028437,12115.4305934906,42069115.09028437,1.0000000021460962
digital_annealing_legacy,22,CHAIN,3,94014138175.35767,944.2724113464355,94014138175.35767,1.0000000000038043
digital_annealing_quadratic,22,CHAIN,3,94014138175.35767,1744.177833557129,119220739097.3162,1.2681150028243207
dpsizelinear,22,CHAIN,3,94014138175.35767,0,94014138175.35767,1.0000000000038043
genetic,22,CHAIN,3,94014138175.35767,54786,119960341849.77843,1.275981933977649
ikkbz,22,CHAIN,3,94014138175.35767,0,94014138175.35767,1.0000000000038043
milp,22,CHAIN,3,94014138175.35767,8013,94014138175.35767,1.0000000000038043
minsel,22,CHAIN,3,94014138175.35767,0,94014138175.35767,1.0000000000038043
simulated_annealing_quadratic,22,CHAIN,3,94014138175.35767,49435.99843978882,94014138175.35767,1.0000000000038043
digital_annealing_legacy,22,CHAIN,4,15018114334.671083,5138.778377532959,15018115282.533157,1.0000000631592714
digital_annealing_quadratic,22,CHAIN,4,15018114334.671083,1168.870231628418,15018114334.671083,1.000000000044685
dpsizelinear,22,CHAIN,4,15018114334.671083,0,15018114334.671083,1.000000000044685
genetic,22,CHAIN,4,15018114334.671083,26696,15133058879.599192,1.0076537268955907
ikkbz,22,CHAIN,4,15018114334.671083,0,15018114334.671083,1.000000000044685
milp,22,CHAIN,4,15018114334.671083,20905,15028549408.545961,1.000694832541149
minsel,22,CHAIN,4,15018114334.671083,0,19213958090.06801,1.2793855248903585
simulated_annealing_quadratic,22,CHAIN,4,15018114334.671083,6422.071218490601,15018114334.671083,1.000000000044685
digital_annealing_legacy,22,CHAIN,5,986833959.8674855,743.2458839416504,1363772133.9051971,1.3819671703304215
digital_annealing_quadratic,22,CHAIN,5,986833959.8674855,2988.6379795074463,986834539.0846007,1.0000005878239144
dpsizelinear,22,CHAIN,5,986833959.8674855,0,1363772133.9051971,1.3819671703304215
genetic,22,CHAIN,5,986833959.8674855,966,1076374184.5598235,1.0907348442392055
ikkbz,22,CHAIN,5,986833959.8674855,0,1363772133.9051971,1.3819671703304215
milp,22,CHAIN,5,986833959.8674855,20014,986833959.8674855,1.0000000008790593
minsel,22,CHAIN,5,986833959.8674855,0,2385142936.1892157,2.4169647937594085
simulated_annealing_quadratic,22,CHAIN,5,986833959.8674855,28894.694089889526,986849294.862273,1.0000155404687214
digital_annealing_legacy,22,CHAIN,6,308796307.8836186,2527.6341972351074,777229634.7875556,2.5169654466999685
digital_annealing_quadratic,22,CHAIN,6,308796307.8836186,545.0,308796307.8836186,1.0000000028614935
dpsizelinear,22,CHAIN,6,308796307.8836186,0,777229634.7875556,2.5169654466999685
genetic,22,CHAIN,6,308796307.8836186,57387,308797861.30439544,1.000005033429352
ikkbz,22,CHAIN,6,308796307.8836186,0,777229634.7875556,2.5169654466999685
milp,22,CHAIN,6,308796307.8836186,4529,308806144.7953724,1.0000318585266386
minsel,22,CHAIN,6,308796307.8836186,0,777229634.7875556,2.5169654466999685
simulated_annealing_quadratic,22,CHAIN,6,308796307.8836186,36019.76776123047,308797675.23066497,1.000004430851775
digital_annealing_legacy,22,CHAIN,7,1256040.3538852625,1664.2581062316895,1256040.3538852625,1.0000002817468094
digital_annealing_quadratic,22,CHAIN,7,1256040.3538852625,548.0,1256040.3538852625,1.0000002817468094
dpsizelinear,22,CHAIN,7,1256040.3538852625,0,1256040.3538852625,1.0000002817468094
genetic,22,CHAIN,7,1256040.3538852625,32116,44414251.89976423,20
