method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,annealing_threshold,penalty_scaling,num_iterations,optimisation_time_in_ms,access_time_in_ms,cost,normalised_cost
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,0,n/a,29605208462,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,0,n/a,29605208462,1.0
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,4471,n/a,29605208462,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,0,29605208462,0,2,1000000,216.0,456.0,29605208462,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,0,n/a,3095205,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,0,n/a,3095205,1.0
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,1108,n/a,3095545,1.0001098473283676
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,0,2,1000000,217.0,472.0,3095205,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,0,n/a,89978,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,0,n/a,89978,1.0
milp,n/a,2,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,1640,n/a,89978,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,2,89978,0,2,1000000,216.0,456.0,89978,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,0,n/a,138000116,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,0,n/a,138000116,1.0
milp,n/a,2,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,4126,n/a,138000116,1.0
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,0,2,1000000,215.0,455.0,138000116,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,0,n/a,846614843,1.0
