method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,thres_config,penalty_scaling,num_iterations,optimisation_time_in_ms,cost,normalised_cost
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,0,29605208462,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,60000,29605208462,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,0,29605208462,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,60000,29605208462,1.0
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,1006,99960452894,3.376448202427118
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,2061,38362635784,1.295806980492661
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,4007,29617446379,1.000413370404593
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,4216,29605208462,1.0
milp,n/a,2,steinbrunn,18,CHAIN,0,29605208462,n/a,n/a,n/a,60000,29605208462,1.0
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,0,29605208462,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,0,29605208462,thres_config_12,2,1000000,471.99907875061035,29605208462,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,0,29605208462,thres_config_12,2,1000000,60000,29605208462,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,0,3095205,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,60000,3095205,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,0,3095205,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,60000,3095205,1.0
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,51,523025760,20
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,205,3097920,1.000877163225053
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,408,3095545,1.0001098473283676
milp,n/a,2,steinbrunn,18,CHAIN,1,3095205,n/a,n/a,n/a,60000,3095545,1.0001098473283676
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,509.00354957580566,3097151,1.0006287144147157
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,949.9807434082031,3096434,1.000397065784011
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,1414.0050106048584,3095538,1.0001075857657247
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,1883.4932708740234,3095205,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,1,3095205,thres_config_12,2,1000000,60000,3095205,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,0,89978,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,60000,89978,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,0,89978,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,60000,89978,1.0
milp,n/a,2,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,51,9018840,20
milp,n/a,2,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,201,89978,1.0
milp,n/a,2,steinbrunn,18,CHAIN,2,89978,n/a,n/a,n/a,60000,89978,1.0
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,2,89978,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,2,89978,thres_config_12,2,1000000,464.00085067749023,89978,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,2,89978,thres_config_12,2,1000000,60000,89978,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,0,138000116,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,60000,138000116,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,0,138000116,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,60000,138000116,1.0
milp,n/a,2,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,51,8609545985,20
milp,n/a,2,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,605,138000116,1.0
milp,n/a,2,steinbrunn,18,CHAIN,3,138000116,n/a,n/a,n/a,60000,138000116,1.0
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,485.0013084411621,138011560,1.0000829274665248
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,956.0012474060059,138006612,1.0000470724242
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,1412.9997940063477,138002826,1.0000196376646524
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,1867.0022506713867,138000116,1.0
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,3,138000116,thres_config_12,2,1000000,60000,138000116,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,0,846614843,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,60000,846614843,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,0,846614843,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,60000,846614843,1.0
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,0,n/a,20
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,51,3666878291,4.331223721528823
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,407,915001404,1.080776472991745
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,608,910687063,1.0756804827245392
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,808,846625332,1.000012389341017
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,1002,846622975,1.0000096053123415
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,60000,846622975,1.0000096053123415
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,4,846614843,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,4,846614843,thres_config_12,2,1000000,490.9998474121094,846614843,1.0
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,4,846614843,thres_config_12,2,1000000,60000,846614843,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,0,44225145234,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,60000,44225145234,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,0,44225145234,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,60000,44225145234,1.0
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,51,93154792874809,20
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,400,45597551507,1.0310322615276548
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,4011,45339291029,1.0251925864596925
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,5305,45339278802,1.025192309988017
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,60000,45339278802,1.025192309988017
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,5,44225145234,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,5,44225145234,thres_config_12,2,1000000,479.0028419494629,86268287953,1.950661495774524
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,5,44225145234,thres_config_12,2,1000000,60000,86268287953,1.950661495774524
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,0,17521530030,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,60000,17521530030,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,0,17521530030,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,60000,17521530030,1.0
