method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,thres_config,penalty_scaling,num_iterations,optimisation_time_in_ms,cost,normalised_cost
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,0,107806167,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,10000,107806167,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,0,107806167,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,10000,107806167,1.0
milp,n/a,2,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,0,n/a,50
milp,n/a,2,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,202,107806167,1.0
milp,n/a,2,steinbrunn,14,CHAIN,0,107806167,n/a,n/a,n/a,10000,107806167,1.0
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,0,107806167,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,0,107806167,thres_config_12,2,1000000,412.0032653808594,107806167,1.0
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,0,107806167,thres_config_12,2,1000000,10000,107806167,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,0,5268015,1.0063706058093094
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,10000,5268015,1.0063706058093094
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,0,5268015,1.0063706058093094
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,10000,5268015,1.0063706058093094
milp,n/a,10,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,0,n/a,50
milp,n/a,10,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,202,5236721,1.000392384080974
milp,n/a,10,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,404,5234667,1.0
milp,n/a,10,steinbrunn,14,CHAIN,1,5234667,n/a,n/a,n/a,10000,5234667,1.0
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,1,5234667,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,1,5234667,thres_config_12,2,1000000,437.00292587280273,5234667,1.0
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,1,5234667,thres_config_12,2,1000000,10000,5234667,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,0,930012,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,10000,930012,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,0,930012,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,10000,930012,1.0
milp,n/a,2,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,0,n/a,50
milp,n/a,2,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,201,930012,1.0
milp,n/a,2,steinbrunn,14,CHAIN,2,930012,n/a,n/a,n/a,10000,930012,1.0
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,2,930012,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,2,930012,thres_config_12,2,1000000,441.9950065612793,930012,1.0
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,2,930012,thres_config_12,2,1000000,10000,930012,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,0,3846779,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,10000,3846779,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,0,3846779,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,10000,3846779,1.0
milp,n/a,100,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,0,n/a,50
milp,n/a,100,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,204,3846779,1.0
milp,n/a,100,steinbrunn,14,CHAIN,3,3846779,n/a,n/a,n/a,10000,3846779,1.0
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,3,3846779,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,3,3846779,thres_config_12,2,1000000,405.0,3846779,1.0
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,3,3846779,thres_config_12,2,1000000,10000,3846779,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,0,164845250,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,10000,164845250,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,0,164845250,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,10000,164845250,1.0
milp,n/a,10,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,0,n/a,50
milp,n/a,10,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,202,164852532,1.0000441747639073
milp,n/a,10,steinbrunn,14,CHAIN,4,164845250,n/a,n/a,n/a,10000,164852532,1.0000441747639073
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,4,164845250,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,True,n/a,steinbrunn,14,CHAIN,4,164845250,thres_config_12,2,1000000,446.0001163482666,167450494,1.0158041799809214
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,4,164845250,thres_config_12,2,1000000,1736.0001888275146,165561579,1.0043454633967313
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,4,164845250,thres_config_12,2,1000000,2136.9992866516113,165018974,1.0010538611212638
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,4,164845250,thres_config_12,2,1000000,10000,165018974,1.0010538611212638
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,0,8169,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,10000,8169,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,0,8169,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,10000,8169,1.0
milp,n/a,10,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,0,n/a,50
milp,n/a,10,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,203,25653,3.1402864487697393
milp,n/a,10,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,403,8169,1.0
milp,n/a,10,steinbrunn,14,CHAIN,5,8169,n/a,n/a,n/a,10000,8169,1.0
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,5,8169,thres_config_12,2,1000000,0,n/a,50
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,5,8169,thres_config_12,2,1000000,453.9993896484375,8786,1.075529440568001
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,5,8169,thres_config_12,2,1000000,867.9987888336182,8486,1.038805239319378
annealing_quadratic,False,n/a,steinbrunn,14,CHAIN,5,8169,thres_config_12,2,1000000,10000,8486,1.038805239319378
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,0,141136,1.0
ikkbz,n/a,n/a,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,10000,141136,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,0,141136,1.0
dpsizelinear,n/a,n/a,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,10000,141136,1.0
milp,n/a,100,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,0,n/a,50
milp,n/a,100,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,200,141451,1.0022318898084117
milp,n/a,100,steinbrunn,14,CHAIN,6,141136,n/a,n/a,n/a,10000,141451,1.0022318898084117
annealing_quadratic,1,n/a,steinbrunn,14,CHAIN,6,141136,thres_config_12,2,1000000,0,n/a,50
